Transaction ID,Transaction
Trans1,"Rice, Soap, Shampoo"
Trans2,"Chicken, Milk, Bread"
Trans3,"Apples, Milk, Soap"
Trans4,"Eggs, Shampoo, Chicken"
Trans5,"Soap, Chicken, Pasta"
Trans6,"Shampoo, Soap, Apples"
Trans7,"Soap, Pasta, Milk"
Trans8,"Diapers, Chicken, Shampoo"
Trans9,"Shampoo, Milk, Bread"
Trans10,"Chicken, Diapers, Apples"
Trans11,"Soap, Eggs, Apples"
Trans12,"Eggs, Rice, Milk"
Trans13,"Eggs, Apples, Bread"
Trans14,"Bread, Apples, Chicken"
Trans15,"Milk, Chicken, Soap"
Trans16,"Apples, Soap, Shampoo"
Trans17,"Shampoo, Milk, Bread"
Trans18,"Eggs, Chicken, Shampoo"
Trans19,"Diapers, Pasta, Eggs"
Trans20,"Pasta, Soap, Chicken"